,fallacy_reason,fallacy_type,n_supporters,premise_content,premise_type,title,url
1490,,None,3,"A set of two infinite values is actually greater than a set of one infinite value, even though all values are infinite.",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1491,,None,2,"You would be killing someone who initially wouldn't be involved. Imagine 3 people were on the train tracks, you're by a lever which will change the trains direction so it hits one person who was just crossing. This is hypothetical of course, so we imagine that you're certain the 1 would die",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1492,,None,1,"This is hypothetical, a question on morality. Point is mute",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1493,,None,4,"you assume god is a product of belief.

but that is not given by the definition of god.
(you must first show that god is a product of belief follows from the definition)",but,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1494,,None,1,"Paranormal and mystical encounters do not necessarily have to prove god.There are theories present in the world that accept supernatural as a part of the world we can´t/don´t yet sense or understand without presence of god,which is unnecessary,as it is for physics,which can be compared to those.",however,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1495,,None,1,This is called solipsism and it is complete nonsense. To deny any form of proof does not have any proof itself and it is nothing but a claim.,but,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1496,,None,1,We don't know that we don't find them. The things we observe all the time might have direct influence from God,but,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1497,,None,1,this does not imply that it is impossible to proof god. the creator and ruler could reveal himself as such,however,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1498,,None,2,"Everything is impossible to prove. To say someone else is actually real is unprovable. For instance, you may see them, sense them, all things of the sort. But there is no way to prove that they are not a figment of your imagination. Garunteed truth is that you exist, but as what, we know ",because,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1499,,None,1,"If God is the ground of being, then he is interacting with everything at every moment.",but,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1500,,None,1,"Depends on what you consider god is. Universe? Time and Space? A super sprite? A group name of high intellectual scientist? Thus, god is variable. ",because,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
1501,,None,1,if i would also know that [if bob gets censored it would produce an even worse outcome] it would be ethically wrong to censore bob,because,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1502,,None,1,"If you have good reason to think he is not smart enough to not do it, it is partially the same thing than directly stabbing him. (the difference is that the probably that he get stabbed is inferior in the second case).

We just know almost everyone is smart enough.",however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1503,,None,1,"every sentence in imperative implies a ""i want you to..."" or ""someone wants you to..."" in the beginning.
so the subject (i or someone) and object  (you) are implied else the sentence wouldn't make sense 
",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1504,,None,1,"Same thing
My point is that at the end everything is a configuration of matter which do something
We need a better criterion to differentiate what is information or not than

""Is it X which act on Y, or Y which act with X ?""

If the computer act with the data, the data also act on the computer",however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1505,,None,1,... this branch will lead nowhere because we have no definition of thinking,however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1506,,None,1,i just did,because,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1507,,None,1,"Think as a word is almost impossible to define- I use it in the human sense, referring to the unique way human beings consider their surroundings, circumstances, and experiences.",however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1508,,None,1,"""please send me a example of informatic data that is not information about facts""
if you try to do this you are sending information about facts

=>everything can be information about facts",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1509,,None,1,"You are playing with two different meanings of the word ""information"". Information about facts is not the same as informatic data. ",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1510,,None,1,"Censorship is the suppression of free speech, public communication or other information which may be considered objectionable, harmful, sensitive, politically incorrect or inconvenient as determined by governments, media outlets, authorities or other groups or institutions. ",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1511,,None,2,"That's not what you generally mean when discussing censorship.. Censorship is political (opinions, newspapers etc). Your scenario would be valid if Bob sent an article ""North Korea killing civilians"" to his buddy in North Korea.",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1512,,None,1,Bob does only send information. The computer of the receiver interprets them and the computer acts.,but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1513,,None,1,"Censorship is about information, a virus is not only information, it do things.",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1514,,None,2,"censorship is deleting or changing information.

it does not  have to be about opinions.



example:


You can censore gore pictures or porn and those are not about opinions.",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1515,,None,1,It should not be up to any entity to force censorship. Instead we should focus on educating people to watch out for exploitation.,but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1516,,None,1,I do not remember any such case from the top of my mind. Learning how to break lines is easier than actually thinking about an issue (which is more of a problem since a lot of people don't seem to do that).,but,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1517,,None,1,Newcomers fail on every rule they possible could fail on. Yes allowing stuff makes them fail less but allowing longer shortlogs also would have the same effect.,however,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1518,,None,2,"no project is ""well architected""",but,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1519,,None,4,Side-by-side screens do not apply just to viewing two files at the same time. Someone might also want to have a terminal on the right with an editor on the left.,however,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1520,,None,2,Long lines can also make comparing code harder on low resolution screens because it will not fit,however,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1521,,None,1,I do not remember any such case from the top of my mind. Learning how to break lines is easier than actually thinking about an issue (which is more of a problem since a lot of people don't seem to do that).,but,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1522,,None,1,Newcomers fail on every rule they possible could fail on. Yes allowing stuff makes them fail less but allowing longer shortlogs also would have the same effect.,however,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1523,,None,2,"no project is ""well architected""",but,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1524,,None,4,Side-by-side screens do not apply just to viewing two files at the same time. Someone might also want to have a terminal on the right with an editor on the left.,however,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1525,,None,2,Long lines can also make comparing code harder on low resolution screens because it will not fit,however,It is best to not enforce an 80 column width limit in Python,https://en.arguman.org/it-is-best-to-not-enforce-an-80-column-width-limit-in-python
1526,,None,2,"That wasn't the question. You don't have the choice to abstain. Either 1 or 3 people will die, depending on your action (including inaction). ",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1527,,None,2,"however (if this is true)
that would not negate the statement but just imply that both choices are equally moral",however,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1528,,None,1,"In this case, there exists another option: the doctor(s) attempt to save the three without killing anyone. Killing one to save three is only the best option when the only two options are letting three die or killing one to save them. A truly binary situation is unlikely in real life.",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1529,,None,1,"We're not omniscient, we could never be sure of that.",because,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1530,,None,2,"If you know who/how the persons are it is a different case
",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1531,,None,3,"A set of two infinite values is actually greater than a set of one infinite value, even though all values are infinite.",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1532,,None,2,"You would be killing someone who initially wouldn't be involved. Imagine 3 people were on the train tracks, you're by a lever which will change the trains direction so it hits one person who was just crossing. This is hypothetical of course, so we imagine that you're certain the 1 would die",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1533,,None,1,"This is hypothetical, a question on morality. Point is mute",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1534,,None,2,"That wasn't the question. You don't have the choice to abstain. Either 1 or 3 people will die, depending on your action (including inaction). ",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1535,,None,2,"however (if this is true)
that would not negate the statement but just imply that both choices are equally moral",however,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1536,,None,1,"In this case, there exists another option: the doctor(s) attempt to save the three without killing anyone. Killing one to save three is only the best option when the only two options are letting three die or killing one to save them. A truly binary situation is unlikely in real life.",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1537,,None,1,"We're not omniscient, we could never be sure of that.",because,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1538,,None,2,"If you know who/how the persons are it is a different case
",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1539,,None,3,"A set of two infinite values is actually greater than a set of one infinite value, even though all values are infinite.",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1540,,None,2,"You would be killing someone who initially wouldn't be involved. Imagine 3 people were on the train tracks, you're by a lever which will change the trains direction so it hits one person who was just crossing. This is hypothetical of course, so we imagine that you're certain the 1 would die",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1541,,None,1,"This is hypothetical, a question on morality. Point is mute",but,You can prevent three people from dying if you kill one yourself. This would be the morally correct choice to make,https://en.arguman.org/you-can-prevent-three-people-from-dying-if-you-kill-one-yourself-this-would-be-the-morally-correct-choice-to-make
1542,,None,1,if i would also know that [if bob gets censored it would produce an even worse outcome] it would be ethically wrong to censore bob,because,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1543,,None,1,"If you have good reason to think he is not smart enough to not do it, it is partially the same thing than directly stabbing him. (the difference is that the probably that he get stabbed is inferior in the second case).

We just know almost everyone is smart enough.",however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1544,,None,1,"every sentence in imperative implies a ""i want you to..."" or ""someone wants you to..."" in the beginning.
so the subject (i or someone) and object  (you) are implied else the sentence wouldn't make sense 
",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1545,,None,1,"Same thing
My point is that at the end everything is a configuration of matter which do something
We need a better criterion to differentiate what is information or not than

""Is it X which act on Y, or Y which act with X ?""

If the computer act with the data, the data also act on the computer",however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1546,,None,1,... this branch will lead nowhere because we have no definition of thinking,however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1547,,None,1,i just did,because,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1548,,None,1,"Think as a word is almost impossible to define- I use it in the human sense, referring to the unique way human beings consider their surroundings, circumstances, and experiences.",however,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1549,,None,1,"""please send me a example of informatic data that is not information about facts""
if you try to do this you are sending information about facts

=>everything can be information about facts",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1550,,None,1,"You are playing with two different meanings of the word ""information"". Information about facts is not the same as informatic data. ",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1551,,None,1,"Censorship is the suppression of free speech, public communication or other information which may be considered objectionable, harmful, sensitive, politically incorrect or inconvenient as determined by governments, media outlets, authorities or other groups or institutions. ",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1552,,None,2,"That's not what you generally mean when discussing censorship.. Censorship is political (opinions, newspapers etc). Your scenario would be valid if Bob sent an article ""North Korea killing civilians"" to his buddy in North Korea.",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1553,,None,1,Bob does only send information. The computer of the receiver interprets them and the computer acts.,but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1554,,None,1,"Censorship is about information, a virus is not only information, it do things.",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1555,,None,2,"censorship is deleting or changing information.

it does not  have to be about opinions.



example:


You can censore gore pictures or porn and those are not about opinions.",but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1556,,None,1,It should not be up to any entity to force censorship. Instead we should focus on educating people to watch out for exploitation.,but,"Censorship online is equivalent to censorship in real life, and is ethically wrong in any form",https://en.arguman.org/censorship-online-is-equivalent-to-censorship-in-real-life-and-is-ethically-wrong-in-any-form
1557,,None,1,Adorability towards humans does not necessarily define how good a bird is. What is your method of ranking birds?,but,Penguins are the best kind of bird.,https://en.arguman.org/penguins-are-the-best-kind-of-bird
1558,,None,1,Adorability towards humans does not necessarily define how good a bird is. What is your method of ranking birds?,but,Penguins are the best kind of bird.,https://en.arguman.org/penguins-are-the-best-kind-of-bird
1559,,None,1,Do you have a source for this?,however,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1560,,None,2,Not everyone agrees that a human is created as soon as fertilization occurs.,however,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1561,,None,1,"Yes, that would make the argument much smoother.",because,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1562,,None,2,"The definition of 'murder' is killing a human without justification or excuse, generally with malice aforethought. Neither euthanasia nor abortion meet those qualifications in any way.",but,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1563,,None,1,The idea that abortion is accepted murder is in no way backed up by the statement that abortion is a term created to justify murder. It doesn't prove a thing.,but,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1564,,None,1,"Calling Murder of babies as Abortion has a benefit that people won't feel that bad. Language is being used to twist reality, which is the whole point of this argument. Therefore there is no Irrelevant Conclusion fallacy.",because,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1565,,None,2,There is no change in the sensory capabilities of a baby on birth,but,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1566,,None,1,"Abortion is not murder, because until week 14 the baby's body structures are not finished, so the baby is not a person yet and to be murdered you have to be a person ",but,Abortion is a socially accepted kill,https://en.arguman.org/abortion-is-a-socially-accepted-murder
1567,,None,1,"This should be a ""But"" node, not a ""However"" node; because it opposes the original premise.",but,Arguman should ban linking to videos,https://en.arguman.org/arguman-should-ban-linking-to-videos
1568,,None,1,"Unlike videotape that had to be viewed strictly sequentially, a video can be viewed from any random point. So if the relevant clip is pointed out, we can skip the rest easily.",but,Arguman should ban linking to videos,https://en.arguman.org/arguman-should-ban-linking-to-videos
1569,,None,1,"My friend, there is no need to spam this whole thread just to show your dominance. As you can see, the majority of the arguments here tend to agree against your side, just stop spamming all of this. Noone is supporting you and this is in no way an argument that you can win by spamming.",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1570,,None,6,"The author is an Economist, so take his comments with a grain of salt, as those best situated to talk about Climate Science are those with direct experience in the field. Further, our knowledge increases rapidly, and a 20-year-old article will not reflect our current understanding of the topic.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1571,,None,1,"“To me, the real scandal was not so much that two or three climate scientists behaved badly, but that virtually the entire climate science community tried to pretend that nothing was wrong”",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1572,,None,1,"""The IPCC has never attempted this process, and they do not even discuss ways in which it might be carried out."" ... and ... ""Without this process it is impossible to find out whether the model is suitable for use or what levels of accuracy can be expected from it.""",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1573,,None,1,"""Parameterization is a fancy word for making up data when it doesn't exist.  Because of the lack of data, this occurs for a majority of the surface grids and virtually all of the layers above the surface.""

Parameterization is used for 80% surface and 90% atmosphere.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1574,,None,3,"Global warming: the increase in Earth’s average surface temperature due to rising levels of greenhouse gases.

Climate change: a long-term change in the Earth’s climate, or of a region on Earth.

",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1575,,None,1,"The site should not be sending users to wikipedia to learn the definitions of these fallacies.  The definitions should be readily available, with screen captures of on-site examples.  This is a site design flaw which I am sure that the programmers are noticing.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1576,,None,1,"Despite having incorporated 10 MILLION tree rings into their database, the dendrochronologists are still trying to reconcile enormous gaps in their own chronology.  There interestingly appears to be no observable consistency between any of the tree rings beyond 3,000 BC.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1577,,None,1,"In order for the radiocarbon technique to be accurate, there needs to be a constant rate of cosmic ray influx.  There's no reason to believe that this is the case.  In fact, scientists still to this day are not completely sure where cosmic rays come from.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1578,,None,1,"The most important assumption for all forms of dating is the uniformitarian assumption.  This is the gradualistic concept that the present is key to the past.  Uniformitarianism is not a law of nature; it may be that transient events occur, and if they did, they would cause problems for our dates.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1579,,None,1,"Jeff wrote the book as a critique of ALL professional training, and he did so as a reaction to observing that the graduate programs tended to favor the gung-ho memorizers over those who stopped to think and question what they were learning.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1580,,None,1,"Dude shut the fuck up already, you are spamming this whole discussion with dozens of irrelevant quotes. Global warming is real and that is a fact.",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1581,,None,1,"One controversy on this subject is the claim that certain ancient maps somewhat accurately depict the features of both Greenland and Antarctica beneath the ice.  This research was done by Arlington Mallery & Charles H Hapgood, w/ help from cartographers & professional seismologists.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1582,,None,1,"Estimates range between 30-50% of the dates produced through radiocarbon analysis are thrown away.  For this reason, some have claimed that radiocarbon dating is not employed to test theories, but to support them.  One researcher noted that other dates could be used to construct other chronologies.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1583,,None,1,"An important example of a clear violation of uniformity is the observation that the Arctic region was during the Eocene epoch subtropical & populated by crocodiles & 50-meter-high trees.  Plate tectonics cannot explain the anomaly, & such plants & animals should not be able to survive such darkness.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1584,,None,5,Your source is one non-scientist (he's from a conservative think tank) who wrote an article 20 years ago.,but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1585,,None,1,Accuracy has very little to do with the problem. Today we see giant effects on climate that hasn't been seen in thousands of years. So if you're comfortable with the idea that our planet is not going to be a mess in 100 years but it will be in 200 then idk what to tell you.,because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1586,,None,1,Source!,because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1587,,None,1,Irrelevant quote.,but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1588,,None,1,"Wow, this fallacy reporting system is driving me nuts. You guys are all using them wrong. 

Anyhow, I am simply stating the difference between the two terms. There is no denying that global warming is happening, because the average surface temperature has been rising. There is no denying that.
",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1589,,None,4,"China is pumping out much more climate-affecting pollution than any other developed nation, so if it's a lie, it's one they're helping make come true.",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1590,,None,5,Please provide sources and elaborate.,but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1591,,None,2,"Please stop spamming. You're not making your own argument here, you're simply copying/pasting what someone else has said. This platform is for thinking critically. Spamming is not thinking critically.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1592,,None,1,"What the fuck has this to do with global warming?? Electric currents and your shitty plasma have nothing to do with this, literally 99% of your spam quotes are irrelevant quotes.",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1593,,None,1,"90% of climate experts agree that it is happening. Also, this user is spamming this thread with literally HUNDREDS of irrelevant quotes to create a clusterfuck for everybody else who is trying to argue normally.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1594,,None,1,"What is happening in astrophysics today is really quite remarkable: Our textbook models for the universe's dominant state for observable matter -- plasma -- are not actually based upon modern laboratory plasma observations.  Yet, the public does not scrutinize this questionable practice.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1595,,None,1,"That's fine, but realize that this opens the door to missing alternative explanations which can create a more coherent story by explaining these anomalies.  Humans are endowed with an ability to consider more than one explanation for an observation; we'd be wise to use that ability.",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1596,,None,1,"The point being made here is that both the public and climate scientists have failed to incorporate the most important discovery of the Space Age (made in 1959) that space is not an empty vacuum, that the dominant state of matter in space is plasma, & that this plasma can conduct electric currents.",however,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1597,,None,1,"AGW advocates tend to silo their investigation to just climate; yet, many of the most significant modern discoveries of the Space Age have related to electromagnetism and plasmas.  The refusal to consider how these discoveries might impact climate science is anti-science.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1598,,None,2,"9 in 10 scientists think climate change is real. The only reason nothing is being done, is because huge powerful companies are fooling the people with fake arguments, scientist bribes, and media control. Most people aren't critical in evaluating what they hear on TV",but,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
1599,,None,1,"Jeff claimed that the programs do not teach graduate students how to think critically about the materials they are learning, and they do this by dictating that they memorize stacks of problem sets which cannot be solved under the time limit given w/o the use of memorized algebraic tricks.",because,There is no such thing as global warming. ,https://en.arguman.org/there-is-no-such-thing-as-global-warming
